username,created_at,lng,lat,text,,,,
shreyansh_bwr, Tue Jan 26 21:11:24 +0000 2021,74.308757,25.947998, @bizuwerk_senaye @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella… https://t.co/YwZesITPkG ,,,,
shreyansh_bwr, Tue Jan 26 21:11:41 +0000 2021,74.308757,25.947998, @KyaFarq @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella @ManOfTales… https://t.co/vYdUVALIMB ,,,,
ahsaan_wajid, Tue Jan 26 21:11:42 +0000 2021,67.042194,24.905076, 😭😭😭😂😂😂 https://t.co/bGIs1sSObe ,,,,
shailesh143love, Tue Jan 26 21:11:48 +0000 2021,71.291372,22.414713, Zaroori nahi ki jeene ka koyi sahara ho,Zaroori nhi ki jiske hum ho woh bhi humara ho,Kuchh kashtiyan doob jaya k… https://t.co/sp6LO47Ar9 ,,
Pohthu, Tue Jan 26 21:11:51 +0000 2021,73.226307,3.201397, @sakkoshareef Aan mee dhen dherakameh. Mi meehun beynun veema rahrashah dhaan ves vee. Qurantine eh novey. Goss eh… https://t.co/OnTGyDxgCm ,,,,
m3Dani, Tue Jan 26 21:11:59 +0000 2021,68.889159,26.116357, @easypaisa Done ,,,,
shreyansh_bwr, Tue Jan 26 21:12:00 +0000 2021,74.308757,25.947998, @ksplng @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella @ManOfTales… https://t.co/Voss0omzPQ ,,,,
its_srinu, Tue Jan 26 21:12:01 +0000 2021,78.385285,17.395038, CM KCR on how YSR cheated Telangana : https://t.co/SwxUAjHz2c ,,,,
zephyrzealot, Tue Jan 26 21:12:02 +0000 2021,67.042194,24.905076, @bus_kerdou A warm colour palette topic look! Nice baggy printed shirt tucked in. And sandalsss.Or just solid bla… https://t.co/opQzvRt1sz ,,,,
RaghunathDad, Tue Jan 26 21:12:02 +0000 2021,87.714116,21.890379, @SuvenduWB @BJP4Bengal @DilipGhoshBJP @KailashOnline @shivprakashbjp @MenonArvindBJP @MukulR_Official @Amitava_BJP… https://t.co/m6Bu36DFbT ,,,,
sticksnpedals, Tue Jan 26 21:12:03 +0000 2021,78.064109,8.75468, This gentleman and his reaction from driver’s to passenger’s seat 🤪#faceexpressions #concentration #crazyface… https://t.co/cbCi2Ubiik ,,,,
